psi_n   n_i_m3       n_e_m3       T_i_eV    T_e_eV    omega_E_rads
0.00    5.000e19     5.000e19     2000.0    2000.0    1.0e4
0.10    4.975e19     4.975e19     1990.0    1990.0    9.0e3
0.20    4.900e19     4.900e19     1960.0    1960.0    8.0e3
0.30    4.775e19     4.775e19     1910.0    1910.0    7.0e3
0.40    4.600e19     4.600e19     1840.0    1840.0    6.0e3
0.50    4.375e19     4.375e19     1750.0    1750.0    5.0e3
0.60    4.100e19     4.100e19     1640.0    1640.0    4.0e3
0.70    3.775e19     3.775e19     1510.0    1510.0    3.0e3
0.80    3.400e19     3.400e19     1360.0    1360.0    2.0e3
0.90    2.975e19     2.975e19     1190.0    1190.0    1.0e3
1.00    2.500e19     2.500e19     1000.0    1000.0    0.0
